title,Upazila Name,Very Suitable,Suitable,Moderately Suitable,Marginally Suitable,Not Suitable,Total Area,Aman Zone,id
BARGUNA,Bamna,7202.0,0.0,0.0,0.0,0.0,7202,1,1
BARGUNA,Borguna,11092.3,10273.0,3911.6,0.0,0.0,25277,1,2
BARGUNA,Betagi,11227.6,63.4,0.0,0.0,0.0,11291,1,3
BARGUNA,Patharghata,7056.9,10668.5,26.2,1871.4,0.0,19623,1,4
BARISAL,Babuganj,10387.1,0.0,437.9,0.0,0.0,10825,1,5
BARISAL,Bakerganj,30175.0,66.9,1389.1,0.0,0.0,31631,1,6
BARISAL,Banaripara,8143.1,182.1,437.0,262.2,1092.5,10117,1,7
BARISAL,Gaurnadi,8462.0,158.2,322.9,1364.2,164.8,10472,1,8
JHALAKATI,Jhalakati,15737.0,0.0,0.0,0.0,0.0,15737,1,9
JHALAKATI,Kathalia,11940.0,0.0,0.0,0.0,0.0,11940,1,10